timestep,time,region,model,b0,q,alpha,k,g,r0,b,MSE,MAE,NRMSE,normalized_residual,AIC,Rrope,n_points_inside
0005,0.596351499960285,apex,Exponential,0.965841102000488,,,0.05573125466482987,0.7004003937208915,,,0.0002589061768828858,0.011752279533525783,0.023559243648357247,0.0002669135844153463,-819.9044809448657,0.720445453714071,50
0005,0.596351499960285,apex,Step-like,0.9977973484536915,,,,0.9337618808097156,0.1,0.16768452903894687,0.0005194406191353486,0.02094018833345516,0.033370144827167186,0.000541083978265988,-748.2758055911089,0.720445453714071,50
0006,0.715621799952342,apex,Gold-Hoyle,0.9654783715665063,0.030390097846176783,,,,,,0.00026282503084541244,0.011832988484159247,0.023745756639014955,0.0002681888069851148,-820.4022025336544,0.7204454537147192,50
0006,0.715621799952342,apex,Lundquist,0.9681334702644256,,0.5,,,,,0.011955851885070217,0.08844282316340048,0.16015588941894768,0.01219984886231655,-438.653442288825,0.7204454537147192,50
0006,0.715621799952342,apex,Exponential,0.9654743185286165,,,0.05564146334027198,0.7008422319658827,,,0.0002628127214212028,0.011834520296747418,0.02374520056562038,0.0002709409499187658,-818.406886148601,0.7204454537147192,50
0006,0.715621799952342,apex,Step-like,0.9967073663130546,,,,0.9351623379740504,0.1,0.16784701768739113,0.0005212287801343574,0.020982936161067625,0.033440044321864607,0.000542946645973289,-747.9321493335751,0.7204454537147192,50
0007,0.834892099944399,apex,Gold-Hoyle,0.964997022265818,0.030118904698044853,,,,,,0.00026804175189654785,0.011943589995003556,0.023991981466623624,0.0002735119917311713,-818.4367795197999,0.7204454537154044,50
0007,0.834892099944399,apex,Lundquist,0.9676212127326049,,0.5,,,,,0.011980968103426857,0.08856396862482417,0.16040239530338948,0.012225477656558017,-438.4435879507465,0.7204454537154044,50
0007,0.834892099944399,apex,Exponential,0.9649927802256784,,,0.05521562454514635,0.7015240336583791,,,0.00026802972668710055,0.011945512479743872,0.02399144328211304,0.00027631930586299023,-816.4412659399453,0.7204454537154044,50
0007,0.834892099944399,apex,Step-like,0.9952139659773169,,,,0.9371371995708644,0.1,0.16803499765216282,0.0005210184034616994,0.020985303334382727,0.03344963824385755,0.000542727503605937,-747.9725191572451,0.7204454537154044,50
0008,0.954162399936456,apex,Gold-Hoyle,0.9643512406545308,0.029674841690627778,,,,,,0.00027668965867204886,0.012105462153809473,0.024391864233256833,0.00028233638640004987,-815.2614042046588,0.7204454537156093,50
0008,0.954162399936456,apex,Lundquist,0.9669248699709576,,0.5,,,,,0.012025861932159968,0.08880774066133058,0.16080762469218,0.012271287685877517,-438.0695787125827,0.7204454537156093,50
0008,0.954162399936456,apex,Exponential,0.9643479794692624,,,0.05442358630019132,0.7024868906507264,,,0.00027667783681518303,0.012104210097097227,0.024391343143655587,0.0002852348833146217,-813.2656769011655,0.7204454537156093,50
0008,0.954162399936456,apex,Step-like,0.9928239640364273,,,,0.9405634511663941,0.1,0.16841301145876117,0.0005209126024478637,0.020986962359120412,0.033468092642244124,0.0005426172942165247,-747.9928277982964,0.7204454537156093,50
0009,1.07343269992851,apex,Gold-Hoyle,0.9636986240657286,0.029039494569221846,,,,,,0.00028555913672573653,0.012276957098329502,0.02479603147366074,0.00029138687420993516,-812.1061412925073,0.7204454537158329,50
0009,1.07343269992851,apex,Lundquist,0.9662028446991701,,0.5,,,,,0.01209088881163212,0.0891139876569148,0.16134787962670158,0.012337641644522572,-437.53031007108876,0.7204454537158329,50
0009,1.07343269992851,apex,Exponential,0.9636953107419607,,,0.053351795601023363,0.7035368397158389,,,0.00028554800151778297,0.012275784566937703,0.024795548015730143,0.00029437938300802373,-810.1100408087874,0.7204454537158329,50
0009,1.07343269992851,apex,Step-like,0.9902184428927276,,,,0.9444304076891867,0.1,0.16869181395238614,0.000518203026470011,0.020926997084784515,0.03340289599313844,0.0005397948192395948,-748.5143447572336,0.7204454537158329,50
0010,1.19270299992057,apex,Gold-Hoyle,0.9397336403434874,0.02451227072103341,,,,,,0.00068595417064395,0.018084187488782273,0.03939006969569583,0.0006999532353509693,-724.46997376537,0.8897085794560016,50
0010,1.19270299992057,apex,Lundquist,0.9415268219657613,,0.5,,,,,0.012562182326958011,0.09344941547614631,0.16856668454317997,0.012818553394855114,-433.7064380809298,0.8897085794560016,50
0010,1.19270299992057,apex,Exponential,0.9397330388679008,,,0.04508394488790562,0.7041959574681097,,,0.0006859465988799107,0.01808350582956363,0.03938985229550421,0.0007071614421442379,-722.4710776008948,0.8897085794560016,50
0010,1.19270299992057,apex,Step-like,0.953663594965663,,,,0.969113620730212,0.1,0.17989420200406656,0.0008456744572482765,0.024977994116644177,0.04373617568609154,0.0008809108929669548,-699.5376073537971,0.8897085794560016,50
0011,1.31197329991263,apex,Gold-Hoyle,0.9620510344235497,0.027192650046892024,,,,,,0.0003094457694176756,0.012714072042370211,0.025855120297985947,0.0003157609892017098,-804.0727697936053,0.7204454537151508,50
0011,1.31197329991263,apex,Lundquist,0.9643535979993333,,0.5,,,,,0.012283063009967541,0.08999326575471576,0.16289495267279894,0.012533737765273006,-435.9533956505297,0.7204454537151508,50
0011,1.31197329991263,apex,Exponential,0.9620475959371418,,,0.050184796033300984,0.7062258303781324,,,0.00030943656272507786,0.012713084430653016,0.0258547356717626,0.00031900676569595655,-802.0757450579133,0.7204454537151508,50
0011,1.31197329991263,apex,Step-like,0.9825699947976931,,,,0.9564693632428135,0.1,0.16807094408891862,0.0005094545234180876,0.020696175065046188,0.03317469962550205,0.0005306817952271747,-750.2169964597867,0.7204454537151508,50
0012,1.43124359990468,apex,Gold-Hoyle,0.961044270366848,0.026096432193847673,,,,,,0.00032558093970016285,0.013006997904127446,0.02654753640557475,0.0003322254486736356,-798.9899461482344,0.7204454537145182,50
0012,1.43124359990468,apex,Lundquist,0.9632247403323997,,0.5,,,,,0.012399445263113795,0.09053618041750242,0.16383091875598854,0.012652495166442646,-435.0103544136881,0.7204454537145182,50
0012,1.43124359990468,apex,Exponential,0.9610407729208851,,,0.04828744713615609,0.7077645463841411,,,0.0003255727281503973,0.01300612748545376,0.026547201622784487,0.00033564198778391474,-796.992468302419,0.7204454537145182,50
0012,1.43124359990468,apex,Step-like,0.9771676853014898,,,,0.9654407528354431,0.1,0.1681254382173029,0.0005062170928937077,0.020577085827048754,0.03310267891960921,0.0005273094717642788,-750.8544941372231,0.7204454537145182,50
0013,1.55051389989674,apex,Gold-Hoyle,0.9605944142750641,0.03871363928996712,,,,,,0.00034792316352176317,0.01344510835589101,0.027461094270835953,0.0003550236362466971,-792.3528894171983,0.7204454537271645,50
0013,1.55051389989674,apex,Lundquist,0.9639550130633647,,0.5,,,,,0.011119172193089884,0.08639572148587428,0.15524313171900175,0.011346094074581514,-445.90844359082456,0.7204454537271645,50
0013,1.55051389989674,apex,Exponential,0.9605929109444673,,,0.0707436955344353,0.7000808721532903,,,0.0003478951147934366,0.013442743024977933,0.02745998732485185,0.00035865475751900686,-790.3609515015486,0.7204454537271645,50
0013,1.55051389989674,apex,Step-like,0.9791983328179666,,,,0.9595288344396496,0.1,0.17275608206147317,0.0007285106170690254,0.025089549206241173,0.0397369115787095,0.0007588652261135681,-714.4508357186056,0.7204454537271645,50
0014,1.6697841998888,apex,Gold-Hoyle,0.9597413493246806,0.040618472229584646,,,,,,0.00036570494601595715,0.013733903322697307,0.028179618936519702,0.00037316831226118073,-787.3683705375257,0.7204454537216219,50
0014,1.6697841998888,apex,Lundquist,0.9632563431364479,,0.5,,,,,0.01093624076954616,0.08591814664951099,0.15410038738387666,0.011159429356679754,-447.5673163476385,0.7204454537216219,50
0014,1.6697841998888,apex,Exponential,0.9597403157173859,,,0.0741642808496317,0.6995427975657913,,,0.0003656724921444291,0.013731081934299802,0.028178368532289028,0.0003769819506643599,-785.3772452634245,0.7204454537216219,50
0014,1.6697841998888,apex,Step-like,0.9755156342332251,,,,0.9651278532879715,0.1,0.1737873349707682,0.0007789061540847473,0.02596301168495553,0.04112560184127349,0.0008113605771716118,-707.7619987791063,0.7204454537216219,50
0015,1.78905449988085,apex,Gold-Hoyle,0.9579836161436648,0.02071413950342628,,,,,,0.00037477868928049703,0.013824310428002301,0.028570365476523533,0.0003824272339596909,-784.9174865458389,0.7204454537139631,50
0015,1.78905449988085,apex,Lundquist,0.959571799706394,,0.5,,,,,0.012974382403484811,0.0928775501951695,0.168101542680222,0.013239165717841644,-430.47784499466843,0.7204454537139631,50
0015,1.78905449988085,apex,Exponential,0.9579796866885631,,,0.03869319875013569,0.7132901132852347,,,0.00037477459257756316,0.013823957643791924,0.02857020932487554,0.00038636555935831244,-782.9185796510315,0.7204454537139631,50
0015,1.78905449988085,apex,Step-like,0.9624919583698772,,,,0.99,0.1,0.1675663531025124,0.0004819450047738694,0.019502905804831404,0.03239866338314457,0.0005020260466394473,-755.7680546327941,0.7204454537139631,50
0016,1.90832479987291,apex,Gold-Hoyle,0.9573511593279167,0.018820259670236646,,,,,,0.0003859325039281057,0.014097521987822584,0.029010632534658187,0.0003938086774776588,-781.9848061488041,0.7204454537701389,50
0016,1.90832479987291,apex,Lundquist,0.9587304092914655,,0.5,,,,,0.013179242524592865,0.09357946943774385,0.16953007121577557,0.01344820665774782,-428.9112223062143,0.7204454537701389,50
0016,1.90832479987291,apex,Exponential,0.9573470251294762,,,0.0352505327584601,0.714839278738113,,,0.00038592917960268355,0.014097326680493804,0.029010507589246823,0.000397865133611014,-779.9856675273346,0.7204454537701389,50
0016,1.90832479987291,apex,Step-like,0.9797414897239742,,,,0.9441723611566685,0.1,0.16729482203482163,0.0005147843839403197,0.019529934964366214,0.03350535328082865,0.0005362337332711663,-749.1762414986097,0.7204454537701389,50
0017,2.02759509986497,apex,Gold-Hoyle,0.95670418502045,0.01613133997556175,,,,,,0.000394107616393296,0.014239739397531386,0.02933514367447707,0.000402150628972751,-779.8886545370319,0.720445454060309,50
0017,2.02759509986497,apex,Lundquist,0.9577843301302967,,0.5,,,,,0.01346841262524448,0.09454497001904359,0.171490083655944,0.013743278189024979,-426.74081406233387,0.720445454060309,50
0017,2.02759509986497,apex,Exponential,0.9566997291673082,,,0.03031887758848581,0.7168103104171646,,,0.00039410549488690523,0.014239722951596995,0.02933506471789777,0.00040629432462567543,-777.8891928448461,0.720445454060309,50
0017,2.02759509986497,apex,Step-like,0.9612891828515574,,,,0.99,0.1,0.1667699313359028,0.00046094126312979603,0.01833297256806294,0.031725143808447175,0.0004801471490935376,-760.2239932781686,0.720445454060309,50
0018,2.14686539985702,apex,Gold-Hoyle,0.9561084264582044,0.013226379359307636,,,,,,0.00040367335705692424,0.014419237072721873,0.029706561104979948,0.0004119115888335962,-777.4904526692509,0.7204454547997203,50
0018,2.14686539985702,apex,Lundquist,0.9568575011252165,,0.5,,,,,0.013787556120000252,0.09560705736831321,0.17361249693584047,0.014068934816326786,-424.39888239846715,0.7204454547997203,50
0018,2.14686539985702,apex,Exponential,0.9561036083238664,,,0.02494810056313287,0.7188153527032272,,,0.00040367217124823173,0.01441942025486457,0.02970651747276638,0.0004161568775754966,-775.4907464241917,0.7204454547997203,50
0018,2.14686539985702,apex,Step-like,0.9607355569470815,,,,0.99,0.1,0.16604533032258056,0.00045019687239685976,0.01753999101310885,0.031371737572511264,0.00046895507541339543,-762.5825574436105,0.7204454547997203,50
0019,2.26613569984908,apex,Gold-Hoyle,0.9551377863930303,0.009784999375002688,,,,,,0.0004188611896678261,0.01463261161676184,0.030289866584692127,0.0004274093772120674,-773.7970980118819,0.7204454565554154,50
0019,2.26613569984908,apex,Lundquist,0.955481074783757,,0.5,,,,,0.014168658942726538,0.0969143510566814,0.17616785753324626,0.014457815247680137,-421.67228702856596,0.7204454565554154,50
0019,2.26613569984908,apex,Exponential,0.9551325089401579,,,0.01853705387225077,0.7211572514765395,,,0.0004188607210071719,0.014633049022905522,0.030289849639134735,0.00043181517629605355,-771.7972099011968,0.7204454565554154,50
0019,2.26613569984908,apex,Step-like,1.0000468783732233,,,,0.9040553216453354,0.1,0.16512396370952048,0.0005192322988178397,0.01722082653631846,0.03372431595411262,0.0005408669779352497,-748.3159183766259,0.7204454565554154,50
